caso_numero,victima_edad,victima_identidad_genero,victima_tipo,hecho_provincia,hecho_modalidad_comisiva,hecho_fecha,año,mes
767,35,MUJER,PRINCIPAL,Santa Fe,OTROS,2016-11-12,2016,11
765,26,MUJER,PRINCIPAL,Buenos Aires,OTROS,2016-11-13,2016,11
762,34,MUJER,PRINCIPAL,Buenos Aires,DISPARO DE BALA,2016-11-14,2016,11
763,39,MUJER,PRINCIPAL,Entre Rios,DEGOLLAMIENTO,2016-11-14,2016,11
766,38,MUJER,PRINCIPAL,Santa Fe,APUÑALAMIENTO,2016-11-17,2016,11
1168,25,MUJER,PRINCIPAL,Buenos Aires,QUEMADURAS,2016-11-20,2016,11
856,42,MUJER,PRINCIPAL,La Pampa,DEGOLLAMIENTO,2016-11-22,2016,11
758,18,MUJER,PRINCIPAL,Buenos Aires,ACUCHILLAMIENTO,2016-11-24,2016,11
758,16,MUJER,PRINCIPAL,Buenos Aires,ACUCHILLAMIENTO,2016-11-24,2016,11
783,36,HOMBRE,VINCULADO,Neuquen,DISPARO DE BALA,2016-11-27,2016,11
777,24,MUJER,PRINCIPAL,Cordoba,ESTRANGULAMIENTO,2016-11-28,2016,11
770,28,MUJER,PRINCIPAL,Cordoba,ACUCHILLAMIENTO,2016-12-01,2016,12
776,31,MUJER,PRINCIPAL,Buenos Aires,ACUCHILLAMIENTO,2016-12-02,2016,12
779,49,MUJER,PRINCIPAL,Buenos Aires,ACUCHILLAMIENTO,2016-12-02,2016,12
779,30,MUJER,VINCULADO,Buenos Aires,ACUCHILLAMIENTO,2016-12-02,2016,12
775,32,MUJER,PRINCIPAL,Jujuy,ACUCHILLAMIENTO,2016-12-05,2016,12
773,15,MUJER,PRINCIPAL,Salta,AHORCAMIENTO,2016-12-05,2016,12
774,18,MUJER,PRINCIPAL,Buenos Aires,ACUCHILLAMIENTO,2016-12-06,2016,12
778,40,MUJER,PRINCIPAL,Chubut,DEGOLLAMIENTO,2016-12-08,2016,12
789,30,MUJER,PRINCIPAL,Mendoza,INDEFINIDO,2016-12-10,2016,12
781,33,MUJER,PRINCIPAL,Buenos Aires,GOLPES,2016-12-12,2016,12
